"","version","date","totalcs","versionm","lloc","cs.var","lloc.var"
"1","2005-07-01",2005-07-01,320,"v2005-07-01",8994,0,0
"2","2005-07-13",2005-07-13,320,"v2005-07-13",9044,0,0.00555926173004225
"3","2005-09-19",2005-09-19,441,"v2005-09-19",13043,0.378125,0.442171605484299
"4","2005-09-22",2005-09-22,441,"v2005-09-22",13092,0,0.00375680441616193
"5","2006-03-05",2006-03-05,542,"v2006-03-05",18526,0.229024943310658,0.415062633669416
"6","2006-03-09",2006-03-09,542,"v2006-03-09",18789,0,0.0141962647090575
"7","2006-11-06",2006-11-06,633,"v2006-11-06",25381,0.16789667896679,0.350843578689659
"8","2007-06-26",2007-07-02,711,"v2007-06-26",29776,0.123222748815166,0.173161025964304
"9","2008-05-04",2008-05-04,784,"v2008-05-04",35124,0.10267229254571,0.17960773777539
"10","2008-05-05",2008-06-02,787,"v2008-05-05",35468,0.0038265306122449,0.00979387313517823
"11","2010-11-07",2010-11-07,915,"v2010-11-07",50385,0.162642947903431,0.420576294124281
"12","2010-11-07a",2011-01-16,916,"v2010-11-07a",50396,0.00109289617486339,0.000218318944130197
"13","2011_05_25",2011-05-25,998,"v2011_05_25",52969,0.0895196506550218,0.0510556393364553
"14","2011_05_25a",2011-06-14,999,"v2011_05_25a",52975,0.00100200400801603,0.000113273801657573
"15","2012-01-25",2012-01-25,1066,"v2012-01-25",54402,0.0670670670670671,0.0269372345445965
"16","2012-01-25b",2012-07-13,1066,"v2012-01-25b",54402,0,0
"17","2012-10-13",2012-10-13,1088,"v2012-10-13",57334,0.0206378986866792,0.0538950773868608
"18","2013-05-10",2013-05-10,1085,"v2013-05-10",60272,-0.00275735294117647,0.0512435901908117
"19","2013-05-10a",2013-06-16,1085,"v2013-05-10a",60308,0,0.00059729227501991
"20","2013-12-08",2013-12-08,1219,"v2013-12-08",65806,0.123502304147465,0.0911653511971878
"21","2014-05-05",2014-05-05,1228,"v2014-05-05",67044,0.007383100902379,0.0188128742059995
"22","2014-05-05a",2014-06-25,1132,"v2014-05-05a",59578,-0.0781758957654723,-0.111359704074936
"23","2014-09-29",2014-09-29,1122,"v2014-09-29",61259,-0.0088339222614841,0.0282151129611602
"24","2014-09-29a",2014-10-08,1122,"v2014-09-29a",61275,0,0.000261186111428525
"25","2014_09_29b",2014-12-03,1122,"v2014_09_29b",61275,0,0
"26","2014_09_29c",2015-02-24,1122,"v2014_09_29c",61277,0,3.26397388820889e-05
"27","2014_09_29d",2015-03-19,1122,"v2014_09_29d",61278,0,1.63193367821532e-05
"28","2015-08-10",2015-08-10,1080,"v2015-08-10",63459,-0.0374331550802139,0.0355918926857926
"29","2015-08-10a",2015-08-23,1081,"v2015-08-10a",63654,0.000925925925925926,0.00307285018673474
"30","2016-06-26",2016-06-26,1091,"v2016-06-26",65861,0.00925069380203515,0.0346718195243033
"31","2016-06-26a",2016-07-03,1092,"v2016-06-26a",65873,0.000916590284142988,0.000182201910083357
"32","2017-02-19",2017-02-19,848,"v2017-02-19",72557,-0.223443223443223,0.101467976257344
"33","2017-02-19a",2017-02-20,848,"v2017-02-19a",72555,0,-2.7564535468666e-05
"34","2017-02-19b",2017-03-07,848,"v2017-02-19b",72599,0,0.000606436496450968
"35","2017-02-19c",2017-08-11,848,"v2017-02-19c",72599,0,0
"36","2017-02-19d",2017-08-22,848,"v2017-02-19d",72602,0,4.13228832353063e-05
"37","2017-02-19e",2017-08-23,848,"v2017-02-19e",72602,0,0
"38","2018-04-22",2018-04-22,799,"v2018-04-22",75155,-0.0577830188679245,0.0351643205421338
"39","2018-04-22a",2018-05-03,799,"v2018-04-22a",75307,0,0.00202248686048832
"40","2018-04-22b",2019-01-06,798,"v2018-04-22b",75307,-0.00125156445556946,0
