"","version","date","totalcs","versionm","lloc","cs.var","lloc.var"
"1","3.0.0",2008-09-27,508,"3.0.0",76161,0,0
"2","3.0.1",2008-10-22,508,"3.0.1",76178,0,0.000223211354892924
"3","3.0.1.1",2008-10-30,508,"3.0.1.1",76177,0,-1.31271495707422e-05
"4","3.1.0",2008-11-28,568,"3.1.0",97441,0.118110236220472,0.27913937277656
"5","3.1.1",2008-12-06,568,"3.1.1",97443,0,2.05252409150152e-05
"6","3.1.2",2009-01-19,567,"3.1.2",97463,-0.00176056338028169,0.000205248196381474
"7","3.1.3",2009-02-28,567,"3.1.3",97480,0,0.000174425166473431
"8","3.1.3.1",2009-03-24,567,"3.1.3.1",97492,0,0.000123102174805088
"9","3.1.3.2",2009-04-14,567,"3.1.3.2",97486,0,-6.15435112624626e-05
"10","3.1.4",2009-04-25,568,"3.1.4",97498,0.0017636684303351,0.000123094598198716
"11","3.1.5",2009-05-15,567,"3.1.5",97502,-0.00176056338028169,4.10264825945148e-05
"12","3.2.0",2009-06-15,573,"3.2.0",98934,0.0105820105820106,0.0146868782178827
"13","3.2.0.1",2009-06-30,573,"3.2.0.1",98934,0,0
"14","3.2.2",2009-09-13,574,"3.2.2",101800,0.00174520069808028,0.0289688074878202
"15","3.2.2.1",2009-10-12,574,"3.2.2.1",101802,0,1.96463654223969e-05
"16","3.2.3",2009-10-30,574,"3.2.3",101822,0,0.000196459794503055
"17","3.2.4",2009-12-02,574,"3.2.4",101844,0,0.000216063326196696
"18","3.2.5",2010-01-10,574,"3.2.5",101860,0,0.000157103020305565
"19","3.3.0",2010-03-07,1145,"3.3.0",130863,0.994773519163763,0.284733948556843
"20","3.3.1",2010-03-16,1145,"3.3.1",130863,0,0
"21","3.3.2",2010-04-13,1145,"3.3.2",131488,0,0.00477598710101404
"22","3.3.3",2010-05-10,1145,"3.3.3",131495,0,5.3236797274276e-05
"23","3.3.4",2010-06-28,1145,"3.3.4",131447,0,-0.000365032890984448
"24","3.3.5",2010-07-26,1245,"3.3.5",133805,0.0873362445414847,0.0179387890176269
"25","3.3.5.1",2010-08-20,1233,"3.3.5.1",133043,-0.00963855421686747,-0.00569485445237472
"26","3.3.6",2010-08-28,1233,"3.3.6",133048,0,3.75818344445029e-05
"27","3.3.7",2010-09-07,1233,"3.3.7",133055,0,5.26125909446215e-05
"28","3.3.8",2010-10-25,1242,"3.3.8",133261,0.0072992700729927,0.00154823193416256
"29","3.3.8.1",2010-11-29,1242,"3.3.8.1",133261,0,0
"30","3.3.9",2011-01-03,1242,"3.3.9",133275,0,0.00010505699341893
"31","3.3.9.1",2011-02-08,1242,"3.3.9.1",133279,0,3.00131307447008e-05
"32","3.3.9.2",2011-02-11,1242,"3.3.9.2",133284,0,3.7515287479648e-05
"33","3.3.10",2011-03-19,1244,"3.3.10",133281,0.00161030595813205,-2.25083280813901e-05
"34","3.4.0",2011-05-11,1617,"3.4.0",57338,0.29983922829582,-0.569796144986907
"35","3.4.1",2011-05-20,1617,"3.4.1",57334,0,-6.97617635773832e-05
"36","3.4.2",2011-06-07,1619,"3.4.2",57347,0.00123685837971552,0.000226741549516866
"37","3.4.3",2011-06-27,1619,"3.4.3",57349,0,3.48754076063264e-05
"38","3.4.3.1",2011-07-03,1619,"3.4.3.1",57348,0,-1.7437095677344e-05
"39","3.4.3.2",2011-07-23,1618,"3.4.3.2",57352,-0.000617665225447807,6.97495989398061e-05
"40","3.4.4",2011-08-24,1618,"3.4.4",57354,0,3.48723671362812e-05
"41","3.4.5",2011-09-14,888,"3.4.5",34875,-0.451174289245983,-0.391934302751334
"42","3.4.6",2011-10-16,887,"3.4.6",34884,-0.00112612612612613,0.000258064516129032
"43","3.4.7",2011-10-23,888,"3.4.7",34891,0.00112739571589628,0.000200665061346176
"44","3.4.7.1",2011-11-10,888,"3.4.7.1",34895,0,0.000114642744547304
"45","3.4.8",2011-12-01,888,"3.4.8",34904,0,0.000257916606963748
"46","3.4.9",2011-12-21,888,"3.4.9",34913,0,0.000257850103140041
"47","3.4.10",2012-02-14,907,"3.4.10",35857,0.0213963963963964,0.0270386389024146
"48","3.4.10.1",2012-02-18,907,"3.4.10.1",35857,0,0
"49","3.4.10.2",2012-03-28,907,"3.4.10.2",35857,0,0
"50","3.5.0",2012-04-07,983,"3.5.0",40419,0.0837927232635061,0.127227598516329
"51","3.5.1",2012-05-03,982,"3.5.1",40345,-0.00101729399796541,-0.00183082213810337
"52","3.5.2",2012-07-07,983,"3.5.2",40351,0.0010183299389002,0.000148717313173875
"53","3.5.2.1",2012-08-03,983,"3.5.2.1",40353,0,4.95650665411018e-05
"54","3.5.2.2",2012-08-12,983,"3.5.2.2",40355,0,4.95626099670409e-05
"55","3.5.3",2012-10-08,986,"3.5.3",40403,0.00305188199389624,0.00118944368727543
"56","3.5.4",2012-11-16,986,"3.5.4",40416,0,0.000321758285275846
"57","3.5.5",2012-12-20,985,"3.5.5",40423,-0.00101419878296146,0.00017319873317498
"58","3.5.6",2013-01-28,983,"3.5.6",40429,-0.00203045685279188,0.000148430349058704
"59","3.5.7",2013-02-15,980,"3.5.7",40416,-0.00305188199389624,-0.000321551361646343
"60","3.5.8",2013-04-08,982,"3.5.8",40418,0.00204081632653061,4.94853523357086e-05
"61","3.5.8.1",2013-04-24,982,"3.5.8.1",40425,0,0.000173190162798753
"62","4.0.0",2013-05-03,1175,"4.0.0",44895,0.196537678207739,0.110575139146568
"63","4.0.1",2013-05-14,1174,"4.0.1",44907,-0.000851063829787234,0.000267290344136318
"64","4.0.2",2013-05-24,1154,"4.0.2",44844,-0.0170357751277683,-0.00140289932527223
"65","4.0.3",2013-06-05,1154,"4.0.3",44853,0,0.000200695745250201
"66","4.0.4",2013-06-17,1148,"4.0.4",44721,-0.00519930675909879,-0.00294294696006956
"67","4.0.4.1",2013-06-30,1148,"4.0.4.1",44722,0,2.23608595514412e-05
"68","4.0.4.2",2013-07-28,1151,"4.0.4.2",44744,0.00261324041811847,0.000491927910200796
"69","4.0.5",2013-08-04,1154,"4.0.5",44768,0.00260642919200695,0.000536384766672627
"70","4.0.6",2013-09-05,1154,"4.0.6",44727,0,-0.000915832737669764
"71","4.0.7",2013-09-23,1152,"4.0.7",44759,-0.00173310225303293,0.000715451516980795
"72","4.0.8",2013-10-06,1153,"4.0.8",44775,0.000868055555555556,0.000357470006032306
"73","4.0.9",2013-11-04,1153,"4.0.9",44802,0,0.000603015075376884
"74","4.0.10",2013-12-04,1153,"4.0.10",44803,0,2.23204321235659e-05
"75","4.1.0",2013-12-12,1232,"4.1.0",46675,0.0685169124024285,0.0417829163225677
"76","4.1.1",2013-12-17,1232,"4.1.1",46702,0,0.000578468130690948
"77","4.1.2",2013-12-23,1233,"4.1.2",46711,0.000811688311688312,0.000192711232923644
"78","4.1.3",2013-12-31,1233,"4.1.3",46723,0,0.000256898803279741
"79","4.1.4",2014-01-07,1233,"4.1.4",46737,0,0.000299638293773944
"80","4.1.5",2014-01-17,1233,"4.1.5",46735,0,-4.27926482230353e-05
"81","4.1.6",2014-01-26,1234,"4.1.6",46750,0.0008110300081103,0.000320958596341072
"82","4.1.7",2014-02-09,1235,"4.1.7",46742,0.000810372771474878,-0.000171122994652406
"83","4.1.8",2014-02-22,1235,"4.1.8",46745,0,6.41821060288392e-05
"84","4.1.9",2014-03-06,1237,"4.1.9",46745,0.00161943319838057,0
"85","4.1.10",2014-03-22,1238,"4.1.10",46745,0.000808407437348424,0
"86","4.1.11",2014-03-22,1238,"4.1.11",46745,0,0
"87","4.1.12",2014-03-27,1239,"4.1.12",46753,0.000807754442649435,0.000171141298534603
"88","4.1.13",2014-04-13,1239,"4.1.13",46757,0,8.55560071011486e-05
"89","4.1.14",2014-04-26,1242,"4.1.14",46766,0.00242130750605327,0.000192484547768249
"90","4.2.0",2014-05-08,1231,"4.2.0",47305,-0.00885668276972625,0.011525467219775
"91","4.2.1",2014-05-13,1230,"4.2.1",47565,-0.000812347684809098,0.00549624775393722
"92","4.2.2",2014-05-20,1229,"4.2.2",47604,-0.000813008130081301,0.000819930621255125
"93","4.2.3",2014-06-08,1229,"4.2.3",47612,0,0.000168053104781111
"94","4.2.4",2014-06-20,1228,"4.2.4",47602,-0.00081366965012205,-0.000210031084600521
"95","4.2.5",2014-06-26,1228,"4.2.5",47602,0,0
"96","4.2.6",2014-07-17,1232,"4.2.6",47615,0.00325732899022801,0.000273097769001302
"97","4.2.7",2014-07-31,1232,"4.2.7",47611,0,-8.40071406069516e-05
"98","4.2.7.1",2014-08-17,1232,"4.2.7.1",47611,0,0
"99","4.2.8",2014-08-31,1233,"4.2.8",47635,0.000811688311688312,0.000504085190397177
"100","4.2.8.1",2014-09-13,1233,"4.2.8.1",47648,0,0.000272908575627165
"101","4.2.9",2014-09-20,1233,"4.2.9",47650,0,4.1974479516454e-05
"102","4.2.9.1",2014-10-01,1233,"4.2.9.1",47651,0,2.09863588667366e-05
"103","4.2.10",2014-10-11,1233,"4.2.10",47670,0,0.000398732450525697
"104","4.2.10.1",2014-10-21,1233,"4.2.10.1",47670,0,0
"105","4.2.11",2014-10-31,1234,"4.2.11",47675,0.0008110300081103,0.000104887770086008
"106","4.2.12",2014-11-20,1234,"4.2.12",47701,0,0.00054535920293655
"107","4.2.13",2014-11-30,1235,"4.2.13",47724,0.000810372771474878,0.000482170185111423
"108","4.2.13.1",2014-12-03,1234,"4.2.13.1",47728,-0.000809716599190283,8.38152711424021e-05
"109","4.3.0",2014-12-05,1275,"4.3.0",50642,0.03322528363047,0.061054307743882
"110","4.3.1",2014-12-08,1277,"4.3.1",50667,0.00156862745098039,0.000493661387780893
"111","4.3.2",2014-12-12,1277,"4.3.2",50669,0,3.9473424516944e-05
"112","4.3.3",2014-12-21,1277,"4.3.3",50663,0,-0.000118415599281612
"113","4.3.4",2014-12-29,1279,"4.3.4",50672,0.00156617071260767,0.000177644434794623
"114","4.3.5",2015-01-05,1279,"4.3.5",50693,0,0.000414430059993685
"115","4.3.6",2015-01-07,1279,"4.3.6",50696,0,5.91797684098396e-05
"116","4.3.7",2015-01-15,1283,"4.3.7",50701,0.00312744331508991,9.86271106201673e-05
"117","4.3.8",2015-01-24,1283,"4.3.8",50713,0,0.000236681722253999
"118","4.3.9",2015-02-05,1285,"4.3.9",50723,0.00155884645362432,0.000197188097726421
"119","4.3.10",2015-02-20,1285,"4.3.10",50724,0,1.97149222246318e-05
"120","4.3.11",2015-03-02,1285,"4.3.11",50724,0,0
"121","4.3.11.1",2015-03-04,1285,"4.3.11.1",50722,0,-3.94290671082722e-05
"122","4.3.12",2015-03-14,1283,"4.3.12",50736,-0.00155642023346304,0.000276014352746343
"123","4.3.13",2015-03-29,1283,"4.3.13",50746,0,0.000197098707032482
"124","4.4.0",2015-04-01,1275,"4.4.0",50890,-0.00623538581449727,0.00283766208174043
"125","4.4.1",2015-04-07,1275,"4.4.1",50927,0,0.000727058361171153
"126","4.4.1.1",2015-04-08,1275,"4.4.1.1",50926,0,-1.96359494963379e-05
"127","4.4.2",2015-04-13,1275,"4.4.2",50956,0,0.000589090052232651
"128","4.4.3",2015-04-20,1275,"4.4.3",50966,0,0.000196247743150954
"129","4.4.4",2015-04-26,1277,"4.4.4",50971,0.00156862745098039,9.81046187654515e-05
"130","4.4.5",2015-05-05,1277,"4.4.5",50973,0,3.92379980773381e-05
"131","4.4.6",2015-05-07,1277,"4.4.6",50977,0,7.84729170345085e-05
"132","4.4.6.1",2015-05-13,1279,"4.4.6.1",50977,0.00156617071260767,0
"133","4.4.7",2015-05-16,1279,"4.4.7",50990,0,0.000255016968436746
"134","4.4.8",2015-05-28,1279,"4.4.8",51010,0,0.000392233771327711
"135","4.4.9",2015-06-04,1279,"4.4.9",51019,0,0.00017643599294256
"136","4.4.10",2015-06-17,1279,"4.4.10",51019,0,0
"137","4.4.11",2015-07-06,1279,"4.4.11",51019,0,0
"138","4.4.12",2015-07-20,1279,"4.4.12",51024,0,9.80027048746545e-05
"139","4.4.13",2015-08-07,1280,"4.4.13",51038,0.000781860828772478,0.000274380683599875
"140","4.4.13.1",2015-08-08,1280,"4.4.13.1",51030,0,-0.000156745953995062
"141","4.4.14",2015-08-20,1281,"4.4.14",51314,0.00078125,0.00556535371350186
"142","4.4.14.1",2015-09-08,1281,"4.4.14.1",51307,0,-0.000136415013446623
"143","4.4.15",2015-09-20,1282,"4.4.15",51311,0.00078064012490242,7.79620714522385e-05
"144","4.5.0",2015-09-23,1319,"4.5.0",51278,0.0288611544461778,-0.000643136949192181
"145","4.5.0.1",2015-09-24,1319,"4.5.0.1",51278,0,0
"146","4.5.0.2",2015-09-25,1319,"4.5.0.2",51291,0,0.000253520028082218
"147","4.5.1",2015-10-23,1327,"4.5.1",51420,0.00606520090978014,0.00251506112183424
"148","4.5.2",2015-11-23,1329,"4.5.2",51460,0.00150715900527506,0.000777907429015947
"149","4.5.3",2015-12-23,1331,"4.5.3",51487,0.00150489089541008,0.000524679362611737
"150","4.5.3.1",2015-12-25,1331,"4.5.3.1",51485,0,-3.88447569289335e-05
"151","4.5.4",2016-01-28,1327,"4.5.4",51471,-0.00300525920360631,-0.000271923861318831
"152","4.5.4.1",2016-01-29,1327,"4.5.4.1",51473,0,3.88568320024868e-05
"153","4.5.5.1",2016-02-29,1494,"4.5.5.1",66374,0.125847776940467,0.289491578108911
"154","4.6.0",2016-03-22,1451,"4.6.0",64814,-0.0287817938420348,-0.0235031789556151
"155","4.6.1",2016-05-03,1453,"4.6.1",64848,0.00137835975189524,0.000524578023266578
"156","4.6.2",2016-05-25,1457,"4.6.2",64934,0.00275292498279422,0.00132617813964964
"157","4.6.3",2016-06-23,1463,"4.6.3",64965,0.00411805078929307,0.000477407829488404
"158","4.6.4",2016-08-16,1452,"4.6.4",64792,-0.0075187969924812,-0.00266297236973755
"159","4.6.5",2016-11-25,1470,"4.6.5",65349,0.012396694214876,0.00859674033831337
"160","4.6.5.1",2016-11-26,1470,"4.6.5.1",65349,0,0
"161","4.6.5.2",2016-12-05,1470,"4.6.5.2",65347,0,-3.06049059664264e-05
"162","4.6.6",2017-01-23,1471,"4.6.6",65342,0.000680272108843537,-7.65146066384073e-05
"163","4.7.0",2017-03-29,946,"4.7.0",118528,-0.356900067980965,0.813963453827554
"164","4.7.1",2017-05-26,948,"4.7.1",56192,0.00211416490486258,-0.525917926565875
"165","4.7.2",2017-06-29,944,"4.7.2",56871,-0.00421940928270042,0.0120835706150342
"166","4.7.3",2017-07-20,944,"4.7.3",56901,0,0.000527509627050694
"167","4.7.4",2017-08-24,945,"4.7.4",56915,0.00105932203389831,0.000246041370098944
"168","4.7.5",2017-10-23,945,"4.7.5",57271,0,0.00625494157954845
"169","4.7.6",2017-12-01,945,"4.7.6",58691,0,0.0247943985612264
"170","4.7.7",2017-12-23,946,"4.7.7",60779,0.00105820105820106,0.0355761530728732
"171","4.7.8",2018-02-20,946,"4.7.8",55467,0,-0.0873986080718669
"172","4.8.0",2018-04-07,1009,"4.8.0",62430,0.0665961945031713,0.125534101357564
"173","4.8.0.1",2018-04-19,1009,"4.8.0.1",62463,0,0.000528592023065834
"174","4.8.1",2018-05-25,1010,"4.8.1",62498,0.000991080277502478,0.000560331716376095
"175","4.8.2",2018-06-21,1010,"4.8.2",62500,0,3.2001024032769e-05
"176","4.8.3",2018-08-22,1010,"4.8.3",62599,0,0.001584
"177","4.8.4",2018-12-11,1010,"4.8.4",62660,0,0.00097445646096583
"178","4.8.5",2019-01-26,1012,"4.8.5",62939,0.00198019801980198,0.00445260134056815
"179","4.9.0",2019-06-04,1016,"4.9.0",63817,0.00395256916996047,0.0139500150939799
"180","4.9.0.1",2019-06-04,1016,"4.9.0.1",63817,0,0
"181","4.9.1",2019-09-21,1020,"4.9.1",66364,0.00393700787401575,0.0399109955027657
