"","version","date","totalcs","versionm","lloc","cs.var","lloc.var"
"1","0.1.0",2002-02-11,23,"0.1.0",3368,0,0
"2","0.5.0",2002-12-14,133,"0.5.0",5450,4.78260869565217,0.618171021377672
"3","0.6.0",2002-12-24,143,"0.6.0",6130,0.075187969924812,0.124770642201835
"4","0.6.5",2003-01-17,162,"0.6.5",7171,0.132867132867133,0.169820554649266
"5","3.0.1",2003-08-13,140,"3.0.1",21270,-0.135802469135802,1.96611351275973
"6","3.2.1",2003-12-03,175,"3.2.1",27281,0.25,0.282604607428303
"7","3.3.1",2004-03-07,157,"3.3.1",29145,-0.102857142857143,0.0683259411311902
"8","3.4.1",2004-07-01,213,"3.4.1",30615,0.356687898089172,0.0504374678332476
"9","3.5.1",2004-12-13,261,"3.5.1",37594,0.225352112676056,0.227960150253144
"10","3.5.2",2005-02-18,261,"3.5.2",38794,0,0.0319199872320051
"11","3.5.3",2005-04-16,262,"3.5.3",39576,0.00383141762452107,0.0201577563540754
"12","3.5.4",2005-07-15,263,"3.5.4",39586,0.00381679389312977,0.000252678390944006
"13","3.5.5",2005-08-12,263,"3.5.5",39594,0,0.000202091648562623
"14","3.5.6",2005-10-18,263,"3.5.6",39594,0,0
"15","4.0.1",2005-11-23,324,"4.0.1",43072,0.231939163498099,0.0878415921604283
"16","4.1.1",2007-03-24,385,"4.1.1",48853,0.188271604938272,0.134217124814264
"17","4.1.2",2007-06-01,385,"4.1.2",48387,0,-0.00953882054326244
"18","4.1.3",2007-07-11,360,"4.1.3",48379,-0.0649350649350649,-0.000165333664000661
"19","4.2.1",2008-08-02,443,"4.2.1",55397,0.230555555555556,0.145062940532049
"20","4.2.2",2008-12-18,447,"4.2.2",55404,0.0090293453724605,0.000126360633247288
"21","4.2.3",2010-03-23,447,"4.2.3",55413,0,0.000162443144899285
"22","5.0.0",2010-11-29,384,"5.0.0",61489,-0.140939597315436,0.109649360258423
"23","5.0.1",2010-12-13,384,"5.0.1",61465,0,-0.000390313714648148
"24","5.0.2",2011-01-03,387,"5.0.2",61494,0.0078125,0.000471813227039779
"25","5.0.3",2011-10-03,386,"5.0.3",61502,-0.00258397932816537,0.000130093992909877
"26","5.0.4",2012-03-22,389,"5.0.4",61511,0.0077720207253886,0.000146336704497415
"27","5.1.0",2013-04-14,402,"5.1.0",37098,0.0334190231362468,-0.396888361431289
"28","5.6.0",2018-11-12,406,"5.6.0",37297,0.00995024875621891,0.00536417057523317
"29","7.12.0",2019-09-28,406,"7.12.0",36512,0,-0.0210472692173633
