"","version","date","totalcs","versionm","lloc","cs.var","lloc.var"
"1","1.5.0.0",2011-07-06,3798,"1.5.0.0",117917,0,0
"2","1.5.0.1",2011-11-23,4154,"1.5.0.1",146140,0.0937335439705108,0.23934631986906
"3","1.5.0.2",2011-12-23,2961,"1.5.0.2",110160,-0.287193066923447,-0.24620227179417
"4","1.5.0.3",2011-12-29,2928,"1.5.0.3",109356,-0.011144883485309,-0.00729847494553377
"5","1.5.0.5",2012-02-14,2852,"1.5.0.5",103667,-0.0259562841530055,-0.0520227513808113
"6","1.5.0.9",2012-03-26,2892,"1.5.0.9",101252,0.0140252454417952,-0.0232957450297587
"7","1.5.0.13",2012-06-07,2876,"1.5.0.13",106971,-0.00553250345781466,0.0564828349069648
"8","1.5.0.15",2012-08-06,2917,"1.5.0.15",110207,0.0142559109874826,0.0302511895747446
"9","1.5.0.17",2012-09-13,3144,"1.5.0.17",119018,0.0778196777511142,0.0799495494841525
"10","1.5.1.0",2012-10-04,3125,"1.5.1.0",119671,-0.00604325699745547,0.00548656505738628
"11","1.5.2.0",2012-10-23,3126,"1.5.2.0",122186,0.00032,0.021015952068588
"12","1.5.3.0",2012-12-28,3135,"1.5.3.0",123199,0.00287907869481766,0.00829063886206276
"13","1.5.3.1",2012-12-31,3135,"1.5.3.1",123204,0,4.05847450060471e-05
"14","1.5.4.0",2013-03-27,3182,"1.5.4.0",84597,0.0149920255183413,-0.313358332521671
"15","1.5.4.1",2013-04-25,3185,"1.5.4.1",84686,0.000942803268384664,0.00105204676288757
"16","1.5.5.0",2013-08-29,3248,"1.5.5.0",85719,0.0197802197802198,0.0121980020310323
"17","1.5.6.0",2013-10-07,3252,"1.5.6.0",86018,0.00123152709359606,0.00348814148555163
"18","1.6.0.1",2013-11-18,3215,"1.6.0.1",87770,-0.0113776137761378,0.0203678299890721
"19","1.5.6.1",2013-11-20,3280,"1.5.6.1",86526,0.0202177293934681,-0.0141734077703088
"20","1.6.0.2",2013-12-19,3098,"1.6.0.2",83684,-0.0554878048780488,-0.0328456186579756
"21","1.5.6.2",2014-01-20,3285,"1.5.6.2",86634,0.0603615235635894,0.0352516610104679
"22","1.6.0.3",2014-02-03,3058,"1.6.0.3",83411,-0.0691019786910198,-0.037202484013205
"23","1.6.0.4",2014-03-06,3072,"1.6.0.4",83392,0.00457815565729235,-0.000227787701861865
"24","1.6.0.5",2014-03-17,3080,"1.6.0.5",83552,0.00260416666666667,0.00191864927091328
"25","1.6.0.6",2014-04-10,2938,"1.6.0.6",75098,-0.0461038961038961,-0.101182497127537
"26","1.6.0.7",2014-06-17,3256,"1.6.0.7",82222,0.108236895847515,0.0948627127220432
"27","1.6.0.8",2014-06-20,3257,"1.6.0.8",82242,0.000307125307125307,0.000243243900659191
"28","1.6.0.9",2014-07-30,3237,"1.6.0.9",82637,-0.00614062020264047,0.00480289876218964
"29","1.6.0.10",2014-11-14,3267,"1.6.0.10",85195,0.0092678405931418,0.0309546571148517
"30","1.6.0.11",2015-01-07,3275,"1.6.0.11",87987,0.00244872972145699,0.0327718762838195
"31","1.6.0.12",2015-02-23,3323,"1.6.0.12",89024,0.0146564885496183,0.0117858319979088
"32","1.6.0.13",2015-02-24,3323,"1.6.0.13",89024,0,0
"33","1.6.0.14",2015-03-06,3323,"1.6.0.14",89024,0,0
"34","1.6.1.0",2015-07-02,3367,"1.6.1.0",94266,0.013241047246464,0.0588829978432782
"35","1.6.1.1",2015-08-20,3379,"1.6.1.1",94563,0.00356400356400356,0.00315065877410731
"36","1.6.1.2",2015-10-29,3391,"1.6.1.2",94726,0.00355134655223439,0.00172371857914829
"37","1.6.1.3",2015-11-26,3391,"1.6.1.3",94731,0,5.27838185925723e-05
"38","1.6.1.4",2016-01-07,3392,"1.6.1.4",94717,0.000294898260100265,-0.000147786891302741
"39","1.6.1.5",2016-04-15,3387,"1.6.1.5",96123,-0.00147405660377359,0.0148442201505538
"40","1.6.1.6",2016-06-15,3387,"1.6.1.6",96146,0,0.000239276759984603
"41","1.6.1.7",2016-09-08,3387,"1.6.1.7",96155,0,9.36076383832921e-05
"42","1.6.1.8",2016-10-20,3386,"1.6.1.8",96162,-0.000295246530853262,7.27991264104831e-05
"43","1.6.1.9",2016-11-07,3386,"1.6.1.9",96164,0,2.07982363095609e-05
"44","1.7.0.0",2016-11-08,2477,"1.7.0.0",73812,-0.268458357944477,-0.2324362547315
"45","1.7.0.1",2016-11-16,2477,"1.7.0.1",73850,0,0.000514821438248523
"46","1.7.0.2",2016-11-28,2478,"1.7.0.2",73844,0.00040371417036738,-8.12457684495599e-05
"47","1.7.0.3",2016-12-21,2478,"1.7.0.3",73943,0,0.001340664102703
"48","1.7.0.4",2017-01-10,2479,"1.7.0.4",74005,0.000403551251008878,0.000838483696901667
"49","1.7.0.5",2017-02-13,2480,"1.7.0.5",74038,0.000403388463089956,0.000445915816498885
"50","1.7.0.6",2017-03-03,2480,"1.7.0.6",74080,0,0.000567276263540344
"51","1.7.1.0",2017-04-03,2570,"1.7.1.0",75185,0.0362903225806452,0.0149163066954644
