"","version","date","totalcs","versionm","lloc","classes","cs.by.klloc","cs.by.klloc.var","cs.by.classes","cs.by.classes.var"
"1","1.1.0",2003-12-08,246,"1.1.0",834,3,294.964028776978,0,0,NA
"2","1.2.0",2004-03-24,332,"1.2.0",13101,129,25.3415769788566,-0.914085873169242,2.57364341085271,-0.968614104745699
"3","1.2.1",2004-03-28,332,"1.2.1",13128,129,25.2894576477757,-0.00205667276051183,2.57364341085271,0
"4","1.2.2",2004-03-29,332,"1.2.2",13131,129,25.2836798415962,-0.000228466986520567,2.57364341085271,0
"5","1.2.3",2004-04-02,332,"1.2.3",13137,129,25.2721321458476,-0.000456725279744147,2.57364341085271,0
"6","1.2.4",2004-04-13,333,"1.2.4",13253,130,25.1263864785332,-0.00576705069731881,2.56153846153846,-0.0047034291010196
"7","1.2.5",2004-05-03,337,"1.2.5",13269,130,25.3975431456779,0.0107917096386461,2.59230769230769,0.0120120120120121
"8","1.2.6",2004-05-25,337,"1.2.6",13435,132,25.083736509118,-0.0123557871231857,2.5530303030303,-0.0151515151515151
"9","1.3.0",2004-08-12,500,"1.3.0",18818,250,26.5703050271017,0.0592642375047818,2,-0.216617210682493
"10","1.3.1",2004-08-14,498,"1.3.1",18797,250,26.4935894025642,-0.00288726924509225,1.992,-0.004
"11","1.3.2",2004-08-30,500,"1.3.2",18853,250,26.5209780936721,0.00103378559589229,2,0.00401606425702812
"12","1.3.3",2004-09-09,505,"1.3.3",18918,251,26.6941537160376,0.00652976001691509,2.01195219123506,0.00597609561752988
"13","1.3.4",2004-09-29,505,"1.3.4",19146,252,26.3762665830983,-0.0119084926355375,2.00396825396825,-0.00396825396825397
"14","1.3.5",2004-09-30,505,"1.3.5",19143,252,26.3804001462676,0.000156715248393709,2.00396825396825,0
"15","1.3.6",2004-10-14,505,"1.3.6",19155,252,26.3638736622292,-0.000626468285043116,2.00396825396825,0
"16","1.3.7",2004-10-18,505,"1.3.7",19155,252,26.3638736622292,0,2.00396825396825,0
"17","1.3.8",2004-11-15,490,"1.3.8",19288,255,25.4043965159685,-0.0363936331418292,1.92156862745098,-0.0411182294700058
"18","1.3.9",2004-12-12,490,"1.3.9",19324,255,25.3570689298282,-0.0018629683295385,1.92156862745098,0
"19","1.3.10",2005-02-04,490,"1.3.10",19344,255,25.3308519437552,-0.00103391232423479,1.92156862745098,0
"20","1.3.11",2005-02-21,486,"1.3.11",19379,255,25.0786934310336,-0.00995460055119636,1.90588235294118,-0.00816326530612253
"21","1.4.0",2005-03-21,663,"1.4.0",20229,233,32.7747293489545,0.306875473360882,2.84549356223176,0.493005881417899
"22","1.4.1",2005-04-17,675,"1.4.1",20556,245,32.8371278458844,0.00190386002171297,2.75510204081633,-0.0317665527749561
"23","1.4.2",2005-04-21,675,"1.4.2",20576,245,32.8052099533437,-0.000972006220839802,2.75510204081633,0
"24","1.4.3",2005-04-29,692,"1.4.3",20766,245,33.3237022055283,0.0158051801199256,2.82448979591837,0.0251851851851852
"25","1.4.4",2005-05-04,692,"1.4.4",20750,246,33.3493975903614,0.000771084337349372,2.8130081300813,-0.00406504065040655
"26","1.4.5",2005-06-03,704,"1.4.5",20769,249,33.8966729259955,0.0164103514659047,2.82730923694779,0.00508391949300094
