"","version","date","totalcs","versionm","lloc","classes","cs.by.klloc","cs.by.klloc.var","cs.by.classes","cs.by.classes.var"
"1","1.5.5.1",2013-04-28,937,"1.5.5.1",32720,415,28.6369193154034,0,0,NA
"2","1.5.6",2013-08-01,1331,"1.5.6",46675,506,28.5163363685056,-0.00421075135805331,2.6304347826087,0.165027144912069
"3","1.5.6.1",2014-01-09,1325,"1.5.6.1",46354,496,28.584372438193,0.00238586292461306,2.67137096774194,0.0155625166622234
"4","1.5.6.2",2014-04-10,1328,"1.5.6.2",46435,496,28.5991170453322,0.000515827561757099,2.67741935483871,0.00226415094339616
"5","1.5.6.3",2014-04-15,1329,"1.5.6.3",46443,496,28.6157224985466,0.000580628177719603,2.67943548387097,0.00075301204819275
"6","1.5.6.4",2014-04-24,1325,"1.5.6.4",46447,496,28.5271384588886,-0.00309564225269797,2.67137096774194,-0.00300978179082008
"7","2.0.0.0",2014-10-01,1588,"2.0.0.0",56977,587,27.8708952735314,-0.0230041714945554,2.70528109028961,0.0126939024782231
"8","2.0.1.0",2014-11-30,1634,"2.0.1.0",57774,587,28.2826184789005,0.0147725145291665,2.78364565587734,0.0289672544080606
"9","2.0.1.1",2014-12-06,1633,"2.0.1.1",57777,587,28.2638420132579,-0.000663887102839552,2.78194207836457,-0.000611995104039288
"10","2.0.2.0",2015-03-30,1727,"2.0.2.0",61441,603,28.1082664670171,-0.00550440191987192,2.86401326699834,0.0295014009357175
"11","2.0.3.0",2015-05-20,1747,"2.0.3.0",62293,612,28.0448846579873,-0.00225491704030407,2.85457516339869,-0.00329541196907247
"12","2.0.3.1",2015-05-27,1747,"2.0.3.1",62304,613,28.0399332306112,-0.000176553672316363,2.84991843393148,-0.00163132137030991
"13","2.1.0.0",2015-09-27,1704,"2.1.0.0",63525,625,26.8240850059032,-0.043361309554784,2.7264,-0.0433410417859188
"14","2.1.0.1",2015-10-06,1704,"2.1.0.1",63540,625,26.8177525967894,-0.000236071765816809,2.7264,0
"15","2.1.0.2",2015-12-30,1704,"2.1.0.2",63540,625,26.8177525967894,0,2.7264,0
"16","2.2.0.0",2016-03-02,1829,"2.2.0.0",65744,683,27.8200292041859,0.0373736241983416,2.67789165446559,-0.0177920868304016
"17","2.3.0.0",2016-07-30,1972,"2.3.0.0",70881,724,27.8212779165079,4.48853706389696e-05,2.72375690607735,0.0171273738932907
"18","2.3.0.1",2016-07-31,1972,"2.3.0.1",70887,724,27.8189230747528,-8.4641753777139e-05,2.72375690607735,0
"19","2.3.0.2",2016-08-01,1972,"2.3.0.2",70880,724,27.8216704288939,9.87584650113643e-05,2.72375690607735,0
"20","3.0.0.0",2017-06-19,2191,"3.0.0.0",70946,920,30.8826431370338,0.110021169144501,2.38152173913043,-0.12564820530911
"21","3.0.0.2",2017-07-04,2226,"3.0.0.2",72380,933,30.7543520309478,-0.00415414916128666,2.38585209003215,0.00181831256484804
"22","3.0.1.0",2017-07-04,2226,"3.0.1.0",72380,933,30.7543520309478,0,2.38585209003215,0
"23","3.0.1.1",2017-07-04,2226,"3.0.1.1",72387,933,30.7513780098637,-9.67024465718535e-05,2.38585209003215,0
"24","3.0.1.2",2017-07-07,2227,"3.0.1.2",72388,933,30.7647676410455,0.000435415647959975,2.38692390139335,0.000449236298292929
"25","3.0.2.0",2017-07-17,2242,"3.0.2.0",72945,943,30.7354856398657,-0.000951803098969584,2.37751855779427,-0.00394036173234973
"26","3.0.3.0",2019-01-02,2319,"3.0.3.0",74948,953,30.9414527405668,0.0067012801786997,2.43336831059811,0.0234907747074126
"27","3.0.3.1",2019-01-04,2319,"3.0.3.1",74987,954,30.9253603958019,-0.000520090148959139,2.43081761006289,-0.00104821802935027
"28","3.0.3.2",2019-04-09,2324,"3.0.3.2",75189,955,30.9087765497613,-0.000536253929733421,2.43350785340314,0.00110672365096906
