"","version","date","totalcs","versionm","lloc","classes","cs.by.klloc","cs.by.klloc.var","cs.by.classes","cs.by.classes.var"
"1","2.0.0",2002-04-04,216,"2.0.0",39240,10,5.5045871559633,0,0,NA
"2","2.0.1",2002-05-20,220,"2.0.1",42191,10,5.2143822142163,-0.0527205644173718,22,0.0185185185185185
"3","2.0.2",2002-08-08,220,"2.0.2",42517,10,5.17440082790413,-0.00766752122680345,22,0
"4","2.0.3",2002-09-28,221,"2.0.3",52339,10,4.22247272588318,-0.183968759607385,22.1,0.00454545454545461
"5","2.0.4",2003-01-15,221,"2.0.4",63225,10,3.49545274812179,-0.172178726769474,22.1,0
"6","2.0.5",2003-06-15,223,"2.0.5",72899,10,3.05902687279661,-0.124855321119613,22.3,0.00904977375565608
"7","2.0.6",2003-08-03,225,"2.0.6",73216,10,3.07309877622378,0.00460012416115276,22.5,0.00896860986547082
"8","2.0.7",2004-03-13,226,"2.0.7",12511,10,18.0641035888418,4.87813959271397,22.6,0.00444444444444451
"9","2.0.8",2004-03-25,227,"2.0.8",12828,10,17.695665731213,-0.0203961329061704,22.7,0.00442477876106185
"10","2.0.8a",2004-03-28,227,"2.0.8a",12828,10,17.695665731213,0,22.7,0
"11","2.0.9",2004-07-11,229,"2.0.9",13144,10,17.4223980523433,-0.0154426334120726,22.9,0.00881057268722464
"12","2.0.10",2004-07-17,230,"2.0.10",13460,10,17.0876671619614,-0.0192126760837546,23,0.0043668122270743
"13","2.0.11",2004-11-18,231,"2.0.11",13898,10,16.6210965606562,-0.0273045230155105,23.1,0.00434782608695658
"14","2.0.12",2005-02-21,222,"2.0.12",11473,10,19.3497777390395,0.164169744663077,22.2,-0.0389610389610391
"15","2.0.13",2005-02-27,222,"2.0.13",11473,10,19.3497777390395,0,22.2,0
"16","2.0.14",2005-04-18,218,"2.0.14",11361,9,19.1884517207992,-0.00833735769040766,24.2222222222222,0.0910910910910911
"17","2.0.15",2005-05-13,218,"2.0.15",11397,9,19.1278406598228,-0.00315872598052125,24.2222222222222,0
"18","2.0.16",2005-06-28,218,"2.0.16",11404,9,19.1160996141705,-0.00061381971238159,24.2222222222222,0
"19","2.0.17",2005-08-08,218,"2.0.17",11414,9,19.0993516733836,-0.000876117049237813,24.2222222222222,0
"20","2.0.18",2005-10-31,219,"2.0.18",11508,9,19.0302398331595,-0.00361854378127055,24.3333333333333,0.00458715596330274
"21","2.0.19",2005-12-30,219,"2.0.19",11543,9,18.9725374685957,-0.00303214069132808,24.3333333333333,0
"22","2.0.20",2006-04-05,221,"2.0.20",11608,9,19.0385940730531,0.00348169582306637,24.5555555555556,0.00913242009132431
"23","2.0.21",2006-05-30,221,"2.0.21",11639,9,18.9878855571785,-0.00266345906005667,24.5555555555556,0
"24","3.0.0",2007-12-12,1781,"3.0.0",32291,171,55.1546870645071,1.90473032915746,10.4152046783626,-0.575851393188855
"25","3.0.1",2008-04-08,1794,"3.0.1",32496,171,55.2067946824225,0.000944754121338319,10.4912280701754,0.00729927007299274
"26","3.0.2",2008-07-10,1800,"3.0.2",32611,171,55.1960994756371,-0.000193729899497405,10.5263157894737,0.00334448160535127
"27","3.0.3",2008-11-12,1822,"3.0.3",33065,171,55.1035838499924,-0.00167612614883143,10.6549707602339,0.0122222222222222
"28","3.0.4",2008-12-13,1829,"3.0.4",33123,171,55.2184282824623,0.00208415541142539,10.6959064327485,0.00384193194291981
"29","3.0.5",2009-05-31,1837,"3.0.5",33152,172,55.4114382239382,0.00349538998988846,10.6802325581395,-0.00146540872506266
"30","3.0.6",2009-11-17,2004,"3.0.6",35658,199,56.2005721016322,0.0142413534639683,10.070351758794,-0.0571037003197807
"31","3.0.7",2010-02-28,2074,"3.0.7",36821,212,56.3265527823796,0.00224162630443734,9.78301886792453,-0.0285325575264565
"32","3.0.8",2010-11-19,2081,"3.0.8",37834,242,55.0034360628007,-0.0234901064279736,8.59917355371901,-0.121010224981471
"33","3.0.9",2011-07-10,2101,"3.0.9",38605,252,54.4230022017873,-0.0105526836605372,8.33730158730159,-0.0304531551528189
"34","3.0.10",2012-01-02,2076,"3.0.10",38264,259,54.2546518921179,-0.00309336682760006,8.01544401544402,-0.0386045255155201
"35","3.0.11",2012-08-20,2083,"3.0.11",38574,266,54.0001036967906,-0.00469173032081178,7.83082706766917,-0.023032653889058
"36","3.0.12",2013-09-28,2089,"3.0.12",39488,299,52.9021474878444,-0.0203324833432019,6.9866220735786,-0.107805342500285
"37","3.1.0",2014-10-28,2190,"3.1.0",53029,954,41.2981576118727,-0.219348182011665,2.29559748427673,-0.671429560651631
"38","3.1.1",2014-11-01,2191,"3.1.1",53081,956,41.2765396281155,-0.000523461214914081,2.2918410041841,-0.00163638447870701
"39","3.1.2",2014-11-25,2196,"3.1.2",53428,967,41.102043872127,-0.00422748024811865,2.27094105480869,-0.00911928416380449
