"","version","date","totalcs","versionm","lloc","classes","cs.by.klloc","cs.by.klloc.var","cs.by.classes","cs.by.classes.var"
"1","0.1.0",2002-02-11,23,"0.1.0",3368,54,6.82897862232779,0,0,NA
"2","0.5.0",2002-12-14,133,"0.5.0",5450,58,24.4036697247706,2.5735460710012,2.29310344827586,4.38380809595202
"3","0.6.0",2002-12-24,143,"0.6.0",6130,59,23.3278955954323,-0.0440824737210072,2.42372881355932,0.0569644450108322
"4","0.6.5",2003-01-17,162,"0.6.5",7171,62,22.5909914935155,-0.0315889660472005,2.61290322580645,0.0780509812767876
"5","3.0.1",2003-08-13,140,"3.0.1",21270,95,6.58204043253409,-0.708643136162334,1.47368421052632,-0.435997400909682
"6","3.2.1",2003-12-03,175,"3.2.1",27281,95,6.41472086800337,-0.025420622411202,1.84210526315789,0.25
"7","3.3.1",2004-03-07,157,"3.3.1",29145,96,5.38685880940127,-0.160234884689851,1.63541666666667,-0.112202380952381
"8","3.4.1",2004-07-01,213,"3.4.1",30615,97,6.95737383635473,0.291545608029035,2.19587628865979,0.342701424912995
"9","3.5.1",2004-12-13,261,"3.5.1",37594,96,6.94259722296111,-0.00212387802368821,2.71875,0.238116197183098
"10","3.5.2",2005-02-18,261,"3.5.2",38794,96,6.72784451203794,-0.0309326184461515,2.71875,0
"11","3.5.3",2005-04-16,262,"3.5.3",39576,96,6.62017384273297,-0.0160037392529394,2.72916666666667,0.00383141762452102
"12","3.5.4",2005-07-15,263,"3.5.4",39586,96,6.64376294649624,0.00356321515471391,2.73958333333333,0.00381679389312988
"13","3.5.5",2005-08-12,263,"3.5.5",39594,96,6.64242056877305,-0.000202050815780194,2.73958333333333,0
"14","3.5.6",2005-10-18,263,"3.5.6",39594,96,6.64242056877305,0,2.73958333333333,0
"15","4.0.1",2005-11-23,324,"4.0.1",43072,53,7.5222882615156,0.132461906564444,6.11320754716981,1.23143697539278
"16","4.1.1",2007-03-24,385,"4.1.1",48853,86,7.8807852127812,0.0476579650768886,4.47674418604651,-0.267693080677577
"17","4.1.2",2007-06-01,385,"4.1.2",48387,85,7.95668258003183,0.0096306859280385,4.52941176470588,0.0117647058823529
"18","4.1.3",2007-07-11,360,"4.1.3",48379,85,7.44124516835817,-0.0647804416588393,4.23529411764706,-0.0649350649350649
"19","4.2.1",2008-08-02,443,"4.2.1",55397,86,7.99682293264978,0.074661935162955,5.15116279069767,0.21624677002584
"20","4.2.2",2008-12-18,447,"4.2.2",55404,86,8.06800952999783,0.00890185989455989,5.19767441860465,0.00902934537246051
"21","4.2.3",2010-03-23,447,"4.2.3",55413,86,8.06669915001895,-0.000162416761409823,5.19767441860465,0
"22","5.0.0",2010-11-29,384,"5.0.0",61489,43,6.24501943437038,-0.225827154548623,8.93023255813953,0.718120805369127
"23","5.0.1",2010-12-13,384,"5.0.1",61465,43,6.24745790287155,0.000390466118929518,8.93023255813953,0
"24","5.0.2",2011-01-03,387,"5.0.2",61494,43,6.29329690701532,0.00733722497316806,9,0.00781250000000001
"25","5.0.3",2011-10-03,386,"5.0.3",61502,43,6.27621865955579,-0.00271372028236807,8.97674418604651,-0.00258397932816538
"26","5.0.4",2012-03-22,389,"5.0.4",61511,43,6.32407211718229,0.00762456826669778,9.04651162790698,0.00777202072538861
"27","5.1.0",2013-04-14,402,"5.1.0",37098,47,10.8361636745916,0.713478827218008,8.5531914893617,-0.0545315320242849
"28","5.6.0",2018-11-12,406,"5.6.0",37297,54,10.8855940156045,0.00456160893257383,7.51851851851852,-0.120969227934402
"29","7.12.0",2019-09-28,406,"7.12.0",36512,54,11.1196319018405,0.0214997808939527,7.51851851851852,0
