"","version","date","totalcs","versionm","lloc","classes","cs.by.klloc","cs.by.klloc.var","cs.by.classes","cs.by.classes.var"
"1","1.5.0.0",2011-07-06,3798,"1.5.0.0",117917,828,32.2090962287032,0,0,NA
"2","1.5.0.1",2011-11-23,4154,"1.5.0.1",146140,1116,28.424798138771,-0.117491595015939,3.72222222222222,-0.188520273828331
"3","1.5.0.2",2011-12-23,2961,"1.5.0.2",110160,1065,26.8790849673203,-0.0543790377650017,2.78028169014084,-0.253058650409922
"4","1.5.0.3",2011-12-29,2928,"1.5.0.3",109356,1064,26.7749369033249,-0.00387468785198465,2.75187969924812,-0.0102155083758026
"5","1.5.0.5",2012-02-14,2852,"1.5.0.5",103667,1078,27.5111655589532,0.0274969333554934,2.6456400742115,-0.0386062025406288
"6","1.5.0.9",2012-03-26,2892,"1.5.0.9",101252,1068,28.5623987674318,0.0382111476238947,2.70786516853933,0.0235198638448083
"7","1.5.0.13",2012-06-07,2876,"1.5.0.13",106971,1061,26.8857914761945,-0.0586998068645768,2.71065032987747,0.00102854505848619
"8","1.5.0.15",2012-08-06,2917,"1.5.0.15",110207,1062,26.4683731523406,-0.0155256104036767,2.74670433145009,0.0133008677567977
"9","1.5.0.17",2012-09-13,3144,"1.5.0.17",119018,1060,26.4161723436791,-0.00197219558455835,2.96603773584906,0.0798532997846067
"10","1.5.1.0",2012-10-04,3125,"1.5.1.0",119671,1059,26.1132605225995,-0.0114669081174483,2.9508970727101,-0.00510467650359081
"11","1.5.2.0",2012-10-23,3126,"1.5.2.0",122186,1059,25.5839457875698,-0.0202699595698362,2.95184135977337,0.000319999999999918
"12","1.5.3.0",2012-12-28,3135,"1.5.3.0",123199,1061,25.4466351187915,-0.00536706377969801,2.95475966069746,0.000988637453168596
"13","1.5.3.1",2012-12-31,3135,"1.5.3.1",123204,1061,25.445602415506,-4.05830979512793e-05,2.95475966069746,0
"14","1.5.4.0",2013-03-27,3182,"1.5.4.0",84597,743,37.6136269607669,0.478197542607441,4.28263795423957,0.449403148149341
"15","1.5.4.1",2013-04-25,3185,"1.5.4.1",84686,745,37.6095222350802,-0.000109128686022034,4.2751677852349,-0.00174429150549028
"16","1.5.5.0",2013-08-29,3248,"1.5.5.0",85719,746,37.891249314621,0.00749084441381364,4.35388739946381,0.0184132221665735
"17","1.5.6.0",2013-10-07,3252,"1.5.6.0",86018,746,37.8060405961543,-0.0022487703627618,4.35924932975871,0.00123152709359596
"18","1.6.0.1",2013-11-18,3215,"1.6.0.1",87770,719,36.6298279594394,-0.0311117646325146,4.47148817802503,0.0257472880709336
"19","1.5.6.1",2013-11-20,3280,"1.5.6.1",86526,746,37.9076809282759,0.0348855847822006,4.39678284182306,-0.0167070409733195
"20","1.6.0.2",2013-12-19,3098,"1.6.0.2",83684,680,37.0202189187897,-0.0234111395831707,4.55588235294118,0.0361854375896699
"21","1.5.6.2",2014-01-20,3285,"1.5.6.2",86634,746,37.9181383752337,0.0242548391843321,4.40348525469169,-0.0334506219527603
"22","1.6.0.3",2014-02-03,3058,"1.6.0.3",83411,676,36.6618311733464,-0.0331320907544306,4.52366863905325,0.0272927868291409
"23","1.6.0.4",2014-03-06,3072,"1.6.0.4",83392,666,36.8380660015349,0.00480703834337117,4.61261261261261,0.0196619117482426
"24","1.6.0.5",2014-03-17,3080,"1.6.0.5",83552,666,36.8632707774799,0.00068420464700619,4.62462462462462,0.0026041666666667
"25","1.6.0.6",2014-04-10,2938,"1.6.0.6",75098,578,39.1222136408426,0.0612789591297674,5.08304498269896,0.0991259605446457
"26","1.6.0.7",2014-06-17,3256,"1.6.0.7",82222,847,39.6001070273163,0.0122153973918989,3.84415584415584,-0.243729721605828
"27","1.6.0.8",2014-06-20,3257,"1.6.0.8",82242,847,39.6026361226624,6.38658714824572e-05,3.84533648170012,0.000307125307125331
"28","1.6.0.9",2014-07-30,3237,"1.6.0.9",82637,850,39.1713155124218,-0.0108912095877822,3.80823529411765,-0.0096483591901606
"29","1.6.0.10",2014-11-14,3267,"1.6.0.10",85195,971,38.3473208521627,-0.0210356647327254,3.36457260556128,-0.116500860448846
"30","1.6.0.11",2015-01-07,3275,"1.6.0.11",87987,971,37.2214077079569,-0.029360933676344,3.37281153450051,0.00244872972145701
"31","1.6.0.12",2015-02-23,3323,"1.6.0.12",89024,971,37.3270129403307,0.00283721758194719,3.42224510813594,0.0146564885496183
"32","1.6.0.13",2015-02-24,3323,"1.6.0.13",89024,971,37.3270129403307,0,3.42224510813594,0
"33","1.6.0.14",2015-03-06,3323,"1.6.0.14",89024,971,37.3270129403307,0,3.42224510813594,0
"34","1.6.1.0",2015-07-02,3367,"1.6.1.0",94266,1014,35.7180743852502,-0.0431038657621071,3.32051282051282,-0.0297267683665516
"35","1.6.1.1",2015-08-20,3379,"1.6.1.1",94563,1023,35.7327918953502,0.000412046571749666,3.3030303030303,-0.00526500526500527
