"","version","date","totalcs","versionm","lloc","classes","cs.by.klloc","cs.by.klloc.var","cs.by.classes","cs.by.classes.var"
"1","2.0",2010-07-21,606,"2.0",29699,509,20.4047274319001,0,0,NA
"2","2.0.1",2010-08-04,608,"2.0.1",29855,509,20.3650979735388,-0.00194217043543244,1.19449901768173,0.00330033003300345
"3","2.0.2",2010-08-11,609,"2.0.2",30109,513,20.2265103457438,-0.00680515399312321,1.18713450292398,-0.00616535857186833
"4","2.0.3",2010-08-11,609,"2.0.3",30108,513,20.2271821442806,3.32137637837336e-05,1.18713450292398,0
"5","2.0.4",2010-09-01,620,"2.0.4",30256,513,20.4918032786885,0.0130824517483647,1.20857699805068,0.0180623973727422
"6","2.0.5",2010-09-01,620,"2.0.5",30256,513,20.4918032786885,0,1.20857699805068,0
"7","2.0.6",2010-09-01,620,"2.0.6",30256,513,20.4918032786885,0,1.20857699805068,0
"8","2.0.7",2010-09-15,625,"2.0.7",30465,513,20.5153454784179,0.00114885934679134,1.21832358674464,0.0080645161290323
"9","2.0.8",2010-09-15,625,"2.0.8",30465,513,20.5153454784179,0,1.21832358674464,0
"10","2.0.9",2010-09-15,625,"2.0.9",30465,513,20.5153454784179,0,1.21832358674464,0
"11","2.0.10",2010-09-30,628,"2.0.10",30636,514,20.4987596291944,-0.000808460634547667,1.22178988326848,0.00284513618677052
"12","2.0.11",2010-10-06,631,"2.0.11",25032,303,25.2077341003516,0.229719971175749,2.08250825082508,0.704473313573396
"13","2.0.12",2010-10-27,652,"2.0.12",26739,311,24.383858783051,-0.0326834341405198,2.09646302250804,0.00670094424712457
"14","2.0.13",2010-10-27,652,"2.0.13",26738,311,24.3847707382751,3.73999551200652e-05,2.09646302250804,0
"15","2.0.14",2010-11-09,701,"2.0.14",27681,318,25.3242296159821,0.038526459313081,2.20440251572327,0.0514864760581857
"16","2.0.15",2010-11-25,717,"2.0.15",27884,319,25.7136709223928,0.0153782094190503,2.24764890282132,0.0196181898675874
"17","2.0.16",2010-12-02,718,"2.0.16",27885,319,25.748610363995,0.0013587885490043,2.25078369905956,0.00139470013946997
"18","2.0.17",2011-01-18,774,"2.0.17.1",29147,321,26.5550485470203,0.031319677902034,2.41121495327103,0.0712779527764038
"19","2.0.17.1",2011-01-18,774,"2.0.17.2",29157,321,26.545940940426,-0.000342970813183889,2.41121495327103,0
"20","2.0.17.2",2011-01-18,776,"2.0.17",29146,321,26.624579702189,0.00296236482780888,2.41744548286604,0.00258397932816528
"21","2.0.17.3",2011-01-19,776,"2.0.17.3",29156,321,26.6154479352449,-0.000342982576484996,2.41744548286604,0
"22","2.0.17.4",2011-01-25,771,"2.0.17.4",29169,321,26.4321711405945,-0.00688610595982962,2.4018691588785,-0.00644329896907212
"23","2.0.17.5",2011-01-26,771,"2.0.17.5",29172,321,26.4294529000411,-0.000102838338132467,2.4018691588785,0
