Id;Version;Date;CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2005-07-01;2005-07-01;60;30;13;1;0;6;4;5;11;8;1;0;0;5;0;47;0;129
2;2005-07-13;2005-07-13;60;30;13;1;0;6;4;5;11;8;1;0;0;5;0;47;0;129
3;2005-09-19;2005-09-19;98;55;20;3;0;6;4;7;13;12;1;0;0;6;0;81;0;135
4;2005-09-22;2005-09-22;100;55;20;3;0;6;4;7;13;12;1;0;0;6;0;79;0;135
5;2006-03-05;2006-03-05;120;72;22;3;0;6;4;8;26;18;1;0;0;8;0;107;0;147
6;2006-03-09;2006-03-09;121;73;22;3;0;6;4;8;26;18;1;0;0;8;0;105;0;147
7;2006-11-06;2006-11-06;143;89;30;4;0;8;4;10;30;23;1;0;0;9;0;114;0;168
8;2007-06-26;2007-07-02;164;101;38;5;0;7;6;9;32;27;1;0;0;9;0;124;0;188
9;2008-05-04;2008-05-04;190;117;42;6;1;8;7;10;36;28;1;0;0;9;0;141;0;188
10;2008-05-05;2008-06-02;190;117;42;6;1;8;7;10;36;28;1;0;0;9;0;142;0;190
11;2010-11-07;2010-11-07;239;150;50;7;1;9;7;11;40;32;1;0;0;11;0;173;0;184
12;2010-11-07a;2011-01-16;239;151;50;7;1;9;7;11;40;32;1;0;0;11;0;173;0;184
13;2011_05_25;2011-05-25;276;166;50;8;1;10;6;11;42;37;1;0;0;11;0;183;0;196
14;2011_05_25a;2011-06-14;276;167;50;8;1;10;6;11;42;37;1;0;0;11;0;183;0;196
15;2012-01-25;2012-01-25;293;178;53;8;1;10;6;11;44;39;1;0;0;11;0;209;0;202
16;2012-01-25b;2012-07-13;293;178;53;8;1;10;6;11;44;39;1;0;0;11;0;209;0;202
17;2012-10-13;2012-10-13;318;191;61;10;1;13;8;12;33;41;1;0;2;17;0;174;0;206
18;2013-05-10;2013-05-10;321;195;64;11;1;11;9;10;32;47;1;0;2;18;0;155;0;208
19;2013-05-10a;2013-06-16;321;195;64;11;1;11;9;10;32;47;1;0;2;18;0;155;0;208
20;2013-12-08;2013-12-08;369;226;78;16;1;13;12;14;35;53;1;0;2;17;0;171;0;211
21;2014-05-05;2014-05-05;376;234;82;18;1;14;12;15;39;55;1;0;2;18;0;148;0;213
22;2014-05-05a;2014-06-25;353;219;75;16;1;12;10;12;37;52;1;0;0;12;0;133;0;199
23;2014-09-29;2014-09-29;357;224;75;16;1;12;10;12;37;54;1;0;0;13;0;113;0;197
24;2014-09-29a;2014-10-08;357;224;75;16;1;12;10;12;37;54;1;0;0;13;0;113;0;197
25;2014_09_29b;2014-12-03;357;224;75;16;1;12;10;12;37;54;1;0;0;13;0;113;0;197
26;2014_09_29c;2015-02-24;357;224;75;16;1;12;10;12;37;54;1;0;0;13;0;113;0;197
27;2014_09_29d;2015-03-19;357;224;75;16;1;12;10;12;37;54;1;0;0;13;0;113;0;197
28;2015-08-10;2015-08-10;353;215;70;15;1;11;9;11;38;53;1;0;0;13;0;92;0;198
29;2015-08-10a;2015-08-23;353;215;70;15;1;11;9;11;38;54;1;0;0;13;0;92;0;198
30;2016-06-26;2016-06-26;358;218;72;15;1;11;9;10;37;54;1;0;1;13;0;93;0;198
31;2016-06-26a;2016-07-03;358;218;72;15;1;11;9;10;38;54;1;0;1;13;0;93;0;198
32;2017-02-19;2017-02-19;266;168;46;7;0;7;4;8;29;34;1;0;1;13;0;81;0;183
33;2017-02-19a;2017-02-20;266;168;46;7;0;7;4;8;29;34;1;0;1;13;0;81;0;183
34;2017-02-19b;2017-03-07;266;168;46;7;0;7;4;8;29;34;1;0;1;13;0;81;0;183
35;2017-02-19c;2017-08-11;266;168;46;7;0;7;4;8;29;34;1;0;1;13;0;81;0;183
36;2017-02-19d;2017-08-22;266;168;46;7;0;7;4;8;29;34;1;0;1;13;0;81;0;183
37;2017-02-19e;2017-08-23;266;168;46;7;0;7;4;8;29;34;1;0;1;13;0;81;0;183
38;2018-04-22;2018-04-22;244;158;42;5;0;7;2;6;27;34;3;0;1;13;0;77;0;180
39;2018-04-22a;2018-05-03;244;158;42;5;0;7;2;6;27;34;3;0;1;13;0;77;0;180
40;2018-04-22b;2019-01-06;244;157;42;5;0;7;2;6;27;34;3;0;1;13;0;77;0;180
