Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.1.0;2003-12-08;28;19;7;0;0;1;1;1;5;3;0;0;0;0;0;163;0;18
2;1.2.0;2004-03-24;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;208;0;43
3;1.2.1;2004-03-28;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;208;0;43
4;1.2.2;2004-03-29;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;208;0;43
5;1.2.3;2004-04-02;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;208;0;43
6;1.2.4;2004-04-13;32;20;8;0;0;3;1;3;8;6;0;0;0;0;0;209;0;43
7;1.2.5;2004-05-03;34;22;8;0;0;3;1;3;8;6;0;0;0;0;0;209;0;43
8;1.2.6;2004-05-25;34;22;8;0;0;3;1;3;8;6;0;0;0;0;0;209;0;43
9;1.3.0;2004-08-12;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;239;0;94
10;1.3.1;2004-08-14;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;238;0;93
11;1.3.2;2004-08-30;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;240;0;93
12;1.3.3;2004-09-09;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;245;0;93
13;1.3.4;2004-09-29;59;36;14;0;0;6;3;5;26;15;1;0;0;2;0;245;0;93
14;1.3.5;2004-09-30;58;35;14;0;0;6;3;5;26;15;1;0;0;2;0;247;0;93
15;1.3.6;2004-10-14;58;35;14;0;0;6;3;5;26;15;1;0;0;2;0;247;0;93
16;1.3.7;2004-10-18;58;35;14;0;0;6;3;5;26;15;1;0;0;2;0;247;0;93
17;1.3.8;2004-11-15;57;35;14;0;0;5;2;4;25;14;1;0;0;2;0;238;0;93
18;1.3.9;2004-12-12;57;35;14;0;0;5;2;4;25;14;1;0;0;2;0;238;0;93
19;1.3.10;2005-02-04;57;35;14;0;0;5;2;4;25;14;1;0;0;2;0;238;0;93
20;1.3.11;2005-02-21;58;35;14;0;0;5;2;4;25;14;1;0;0;2;0;233;0;93
21;1.4.0;2005-03-21;87;51;33;3;0;4;4;5;19;17;0;0;1;3;0;347;0;89
22;1.4.1;2005-04-17;89;54;34;3;0;4;4;5;19;18;0;0;1;3;0;352;0;89
23;1.4.2;2005-04-21;89;54;34;3;0;4;4;5;19;18;0;0;1;3;0;352;0;89
24;1.4.3;2005-04-29;93;56;35;3;0;4;4;5;19;19;0;0;1;3;0;361;0;89
25;1.4.4;2005-05-04;93;56;35;3;0;4;4;5;19;19;0;0;1;3;0;361;0;89
26;1.4.5;2005-06-03;93;57;34;3;1;4;4;5;19;20;0;0;1;3;0;369;0;91
27;1.4.6;2005-07-07;95;58;34;3;1;4;4;5;19;20;0;0;1;3;0;370;0;89
28;1.4.7;2005-07-16;95;58;34;3;1;4;4;5;19;20;0;0;1;3;0;369;0;89
29;1.4.8;2005-08-23;95;58;34;3;1;4;4;5;19;20;0;0;1;3;0;369;0;89
30;1.4.9;2005-08-29;95;58;34;3;1;4;4;5;19;20;0;0;1;3;0;369;0;89
31;1.4.10;2005-09-21;95;58;34;3;1;4;4;5;19;20;0;0;1;3;0;367;0;89
32;1.4.11;2005-10-06;95;58;34;3;1;4;4;5;19;20;0;0;1;3;0;367;0;89
33;1.5.0;2005-10-06;145;94;50;6;1;6;7;8;37;36;0;0;1;6;0;586;0;106
