Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;3.0.0;2008-09-27;137;88;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121
2;3.0.1;2008-10-22;137;88;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121
3;3.0.1.1;2008-10-30;137;88;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121
4;3.1.0;2008-11-28;153;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;123
5;3.1.1;2008-12-06;153;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;123
6;3.1.2;2009-01-19;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
7;3.1.3;2009-02-28;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
8;3.1.3.1;2009-03-24;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
9;3.1.3.2;2009-04-14;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
10;3.1.4;2009-04-25;154;102;53;4;8;2;1;2;8;12;0;0;1;2;1;96;1;121
11;3.1.5;2009-05-15;154;102;53;4;8;2;1;2;8;12;0;0;1;2;1;96;1;120
12;3.2.0;2009-06-15;155;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
13;3.2.0.1;2009-06-30;155;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
14;3.2.2;2009-09-13;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
15;3.2.2.1;2009-10-12;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
16;3.2.3;2009-10-30;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
17;3.2.4;2009-12-02;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
18;3.2.5;2010-01-10;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
19;3.3.0;2010-03-07;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
20;3.3.1;2010-03-16;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
21;3.3.2;2010-04-13;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
22;3.3.3;2010-05-10;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
23;3.3.4;2010-06-28;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
24;3.3.5;2010-07-26;363;200;110;16;16;5;8;12;20;47;0;0;9;6;9;263;12;149
25;3.3.5.1;2010-08-20;362;200;110;16;16;5;8;11;18;47;0;0;9;6;9;255;12;149
26;3.3.6;2010-08-28;362;200;110;16;16;5;8;11;18;47;0;0;9;6;9;255;12;149
27;3.3.7;2010-09-07;362;200;110;16;16;5;8;11;18;47;0;0;9;6;9;255;12;149
28;3.3.8;2010-10-25;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149
29;3.3.8.1;2010-11-29;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149
30;3.3.9;2011-01-03;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149
31;3.3.9.1;2011-02-08;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149
32;3.3.9.2;2011-02-11;363;202;109;16;16;5;8;11;18;47;0;0;10;2;9;265;12;149
33;3.3.10;2011-03-19;362;201;109;16;16;5;8;11;18;47;0;0;10;2;9;269;12;149
34;3.4.0;2011-05-11;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;310;15;158
35;3.4.1;2011-05-20;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;310;15;158
36;3.4.2;2011-06-07;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;312;15;158
37;3.4.3;2011-06-27;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;312;15;158
38;3.4.3.1;2011-07-03;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;312;15;158
39;3.4.3.2;2011-07-23;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;311;15;158
40;3.4.4;2011-08-24;473;291;167;21;31;8;8;15;27;62;0;0;10;2;19;311;15;158
41;3.4.5;2011-09-14;253;181;101;4;30;3;1;2;9;17;0;0;1;2;8;145;3;128
42;3.4.6;2011-10-16;254;182;101;4;30;3;1;2;9;17;0;0;1;2;8;142;3;128
43;3.4.7;2011-10-23;254;182;101;4;30;3;1;2;9;17;0;0;1;2;8;142;3;129
44;3.4.7.1;2011-11-10;254;182;101;4;30;3;1;2;9;17;0;0;1;2;8;142;3;129
45;3.4.8;2011-12-01;254;182;101;4;30;3;1;2;9;17;0;0;1;2;8;142;3;129
46;3.4.9;2011-12-21;254;182;101;4;30;3;1;2;9;17;0;0;1;2;8;142;3;129
47;3.4.10;2012-02-14;259;188;107;4;30;3;1;2;9;17;0;0;1;2;8;143;3;130
48;3.4.10.1;2012-02-18;259;188;107;4;30;3;1;2;9;17;0;0;1;2;8;143;3;130
49;3.4.10.2;2012-03-28;259;188;107;4;30;3;1;2;9;17;0;0;1;2;8;143;3;130
50;3.5.0;2012-04-07;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;114;5;129
51;3.5.1;2012-05-03;303;216;128;4;35;3;1;2;12;20;0;0;1;3;6;114;5;129
52;3.5.2;2012-07-07;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;114;5;129
53;3.5.2.1;2012-08-03;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;114;5;129
54;3.5.2.2;2012-08-12;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;114;5;129
55;3.5.3;2012-10-08;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;117;5;129
56;3.5.4;2012-11-16;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;117;5;129
57;3.5.5;2012-12-20;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;116;5;129
58;3.5.6;2013-01-28;304;216;128;4;35;3;1;2;12;20;0;0;1;3;6;118;5;125
59;3.5.7;2013-02-15;303;215;127;4;35;3;1;2;12;20;0;0;1;3;6;118;5;125
60;3.5.8;2013-04-08;303;216;128;4;35;3;1;2;12;20;0;0;1;3;6;118;5;125
61;3.5.8.1;2013-04-24;303;216;128;4;35;3;1;2;12;20;0;0;1;3;6;118;5;125
62;4.0.0;2013-05-03;384;254;165;11;57;4;3;5;13;41;1;0;1;4;4;130;10;88
63;4.0.1;2013-05-14;384;253;164;11;57;4;3;5;13;41;1;0;1;4;4;130;11;88
64;4.0.2;2013-05-24;381;251;163;11;57;4;3;5;13;40;1;0;1;4;4;118;11;87
65;4.0.3;2013-06-05;381;251;163;11;57;4;3;5;13;40;1;0;1;4;4;118;11;87
66;4.0.4;2013-06-17;380;250;163;11;57;4;3;5;13;40;1;0;1;4;4;117;10;85
67;4.0.4.1;2013-06-30;380;250;163;11;57;4;3;5;13;40;1;0;1;4;4;117;10;85
68;4.0.4.2;2013-07-28;381;250;163;11;57;4;3;5;13;40;1;0;1;4;4;118;10;86
69;4.0.5;2013-08-04;383;251;163;11;57;4;3;5;13;40;1;0;1;4;4;118;10;86
70;4.0.6;2013-09-05;383;251;163;11;57;4;3;5;13;40;1;0;1;4;4;118;10;86
71;4.0.7;2013-09-23;384;251;163;11;57;4;3;5;13;40;1;0;1;4;4;117;10;84
72;4.0.8;2013-10-06;384;251;164;11;57;4;3;5;13;40;1;0;1;4;4;117;10;84
73;4.0.9;2013-11-04;384;251;164;11;57;4;3;5;13;40;1;0;1;4;4;117;10;84
74;4.0.10;2013-12-04;384;251;164;11;57;4;3;5;13;40;1;0;1;4;4;117;10;84
75;4.1.0;2013-12-12;422;279;180;14;65;6;4;7;20;44;0;0;2;4;0;100;11;74
76;4.1.1;2013-12-17;422;279;180;14;65;6;4;7;20;44;0;0;2;4;0;100;11;74
77;4.1.2;2013-12-23;422;279;180;14;65;6;4;7;20;44;0;0;2;5;0;100;11;74
78;4.1.3;2013-12-31;422;279;180;14;65;6;4;7;20;44;0;0;2;5;0;100;11;74
79;4.1.4;2014-01-07;423;279;180;14;65;6;4;7;20;44;0;0;2;5;0;99;11;74
80;4.1.5;2014-01-17;423;279;180;14;65;6;4;7;20;44;0;0;2;5;0;99;11;74
81;4.1.6;2014-01-26;423;279;181;14;65;6;4;7;20;44;0;0;2;5;0;99;11;74
82;4.1.7;2014-02-09;423;279;181;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
83;4.1.8;2014-02-22;423;279;181;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
84;4.1.9;2014-03-06;424;280;181;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
85;4.1.10;2014-03-22;424;281;181;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
86;4.1.11;2014-03-22;424;281;181;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
87;4.1.12;2014-03-27;424;281;182;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
88;4.1.13;2014-04-13;424;281;182;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
89;4.1.14;2014-04-26;426;282;182;14;65;6;4;7;20;44;0;0;2;5;0;99;11;75
90;4.2.0;2014-05-08;426;282;178;14;69;6;4;7;20;45;0;0;2;5;0;90;11;72
91;4.2.1;2014-05-13;425;282;178;14;69;6;4;7;20;45;0;0;2;5;0;90;11;72
92;4.2.2;2014-05-20;425;282;178;14;69;6;4;7;20;45;0;0;2;5;0;90;11;71
93;4.2.3;2014-06-08;425;282;178;14;69;6;4;7;20;45;0;0;2;5;0;90;11;71
94;4.2.4;2014-06-20;425;282;177;14;69;6;4;7;20;45;0;0;2;5;0;90;11;71
95;4.2.5;2014-06-26;425;282;177;14;69;6;4;7;20;45;0;0;2;5;0;90;11;71
96;4.2.6;2014-07-17;425;283;178;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
97;4.2.7;2014-07-31;425;283;178;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
98;4.2.7.1;2014-08-17;425;283;178;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
99;4.2.8;2014-08-31;425;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
100;4.2.8.1;2014-09-13;425;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
101;4.2.9;2014-09-20;425;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
102;4.2.9.1;2014-10-01;425;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
103;4.2.10;2014-10-11;425;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
104;4.2.10.1;2014-10-21;425;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
105;4.2.11;2014-10-31;426;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
106;4.2.12;2014-11-20;426;283;179;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
107;4.2.13;2014-11-30;426;283;180;14;69;6;4;7;20;45;0;0;2;5;0;91;11;72
