Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.5.0.0;2011-07-06;1018;616;279;47;12;35;70;29;100;192;4;0;53;11;38;709;45;540
2;1.5.0.1;2011-11-23;1153;706;354;57;36;34;73;39;109;214;7;5;69;16;44;698;30;510
3;1.5.0.2;2011-12-23;815;482;248;33;23;26;44;28;78;162;5;9;56;10;28;437;18;459
4;1.5.0.3;2011-12-29;810;475;247;32;22;25;42;27;77;158;5;10;56;10;28;429;18;457
5;1.5.0.5;2012-02-14;804;470;247;31;22;25;41;27;76;155;5;16;57;10;27;363;22;454
6;1.5.0.9;2012-03-26;809;496;256;32;23;25;43;27;78;161;5;16;58;10;27;354;22;450
7;1.5.0.13;2012-06-07;817;506;261;33;23;25;44;27;82;161;5;17;63;10;24;345;8;425
8;1.5.0.15;2012-08-06;833;515;265;34;24;25;43;27;84;161;5;18;65;10;24;351;8;425
9;1.5.0.17;2012-09-13;908;569;298;38;35;25;44;29;84;165;5;21;67;10;25;385;8;428
10;1.5.1.0;2012-10-04;897;562;296;37;35;25;44;28;85;164;5;21;69;10;25;382;8;432
11;1.5.2.0;2012-10-23;898;563;296;37;35;25;44;28;85;164;5;21;69;10;25;381;8;432
12;1.5.3.0;2012-12-28;905;568;296;37;35;26;44;28;85;164;5;21;69;10;25;380;8;429
13;1.5.3.1;2012-12-31;905;568;296;37;35;26;44;28;85;164;5;21;69;10;25;380;8;429
14;1.5.4.0;2013-03-27;917;576;305;36;35;25;44;27;83;164;2;0;71;10;25;384;7;471
15;1.5.4.1;2013-04-25;918;577;305;36;35;25;44;27;83;163;2;0;71;10;25;386;6;472
16;1.5.5.0;2013-08-29;938;592;309;36;35;26;44;27;88;164;2;0;73;9;25;390;6;484
17;1.5.6.0;2013-10-07;940;595;309;36;35;26;44;27;88;165;2;0;72;9;25;388;6;485
18;1.6.0.1;2013-11-18;929;588;311;36;34;26;42;29;93;168;2;0;65;9;26;364;6;487
19;1.5.6.1;2013-11-20;949;602;311;36;35;26;44;27;89;168;2;0;73;9;25;394;6;484
