Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2.0;2010-07-21;161;88;31;6;0;3;2;8;26;35;2;0;1;0;0;144;11;88
2;2.0.1;2010-08-04;162;88;30;6;0;3;2;8;26;35;2;0;1;0;0;143;11;91
3;2.0.2;2010-08-11;163;87;29;6;0;3;2;8;26;35;2;0;1;0;0;145;11;91
4;2.0.3;2010-08-11;163;87;29;6;0;3;2;8;26;35;2;0;1;0;0;145;11;91
5;2.0.4;2010-09-01;165;87;29;6;0;3;2;8;27;36;2;0;1;2;0;150;11;91
6;2.0.5;2010-09-01;165;87;29;6;0;3;2;8;27;36;2;0;1;2;0;150;11;91
7;2.0.6;2010-09-01;165;87;29;6;0;3;2;8;27;36;2;0;1;2;0;150;11;91
8;2.0.7;2010-09-15;168;88;30;6;0;4;2;8;28;36;2;0;1;2;0;148;11;91
9;2.0.8;2010-09-15;168;88;30;6;0;4;2;8;28;36;2;0;1;2;0;148;11;91
10;2.0.9;2010-09-15;168;88;30;6;0;4;2;8;28;36;2;0;1;2;0;148;11;91
11;2.0.10;2010-09-30;170;88;30;6;0;4;2;8;28;36;2;0;1;2;0;149;11;91
12;2.0.11;2010-10-06;170;88;31;6;0;4;2;8;28;36;2;0;1;2;0;150;11;92
13;2.0.12;2010-10-27;177;93;31;6;0;4;2;9;28;36;2;0;1;3;0;155;11;94
14;2.0.13;2010-10-27;177;93;31;6;0;4;2;9;28;36;2;0;1;3;0;155;11;94
15;2.0.14;2010-11-09;185;98;35;7;0;5;2;9;29;39;2;0;2;4;0;161;11;112
16;2.0.15;2010-11-25;188;99;37;8;0;5;2;9;30;40;3;0;2;4;0;161;11;118
17;2.0.16;2010-12-02;189;99;37;8;0;5;2;9;30;40;3;0;2;4;0;161;11;118
18;2.0.17;2011-01-18;196;105;41;8;0;5;2;9;30;43;3;0;2;4;0;194;11;121
