id;idversion_init;idversion_end;file;begin_line;end_line;rule;ruleset;package;class;function;priority;violation;violation_nonumbers;version_init;version_end;date_init;data_end
8021;20;0;upload\system\library\template\Twig\Environment.php;17;1418;CouplingBetweenObjects;Design Rules;#NAME?;Twig_Environment;;2;The class Twig_Environment has a coupling between objects value of 50. Consider to reduce the number of dependencies under 13.;The class Twig_Environment has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
8047;20;0;upload\system\library\template\Twig\ExpressionParser.php;23;648;CouplingBetweenObjects;Design Rules;#NAME?;Twig_ExpressionParser;;2;The class Twig_ExpressionParser has a coupling between objects value of 24. Consider to reduce the number of dependencies under 13.;The class Twig_ExpressionParser has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
8067;20;0;upload\system\library\template\Twig\Extension\Core.php;16;341;CouplingBetweenObjects;Design Rules;#NAME?;Twig_Extension_Core;;2;The class Twig_Extension_Core has a coupling between objects value of 26. Consider to reduce the number of dependencies under 13.;The class Twig_Extension_Core has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
8121;20;0;upload\system\library\template\Twig\NodeVisitor\Escaper.php;17;159;CouplingBetweenObjects;Design Rules;#NAME?;Twig_NodeVisitor_Escaper;;2;The class Twig_NodeVisitor_Escaper has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.;The class Twig_NodeVisitor_Escaper has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
8124;20;0;upload\system\library\template\Twig\NodeVisitor\Optimizer.php;22;271;CouplingBetweenObjects;Design Rules;#NAME?;Twig_NodeVisitor_Optimizer;;2;The class Twig_NodeVisitor_Optimizer has a coupling between objects value of 19. Consider to reduce the number of dependencies under 13.;The class Twig_NodeVisitor_Optimizer has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
8179;20;0;upload\system\library\template\Twig\Parser.php;18;399;CouplingBetweenObjects;Design Rules;#NAME?;Twig_Parser;;2;The class Twig_Parser has a coupling between objects value of 21. Consider to reduce the number of dependencies under 13.;The class Twig_Parser has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
8211;20;0;upload\system\library\template\Twig\Test\IntegrationTestCase.php;18;232;CouplingBetweenObjects;Design Rules;#NAME?;Twig_Test_IntegrationTestCase;;2;The class Twig_Test_IntegrationTestCase has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.;The class Twig_Test_IntegrationTestCase has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.0.0.0;;2017-06-19;
100;1;0;upload\admin\controller\catalog\product.php;2;1399;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerCatalogProduct;;3;The class ControllerCatalogProduct has 1398 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerCatalogProduct has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;;2013-04-28;
580;1;7;upload\admin\controller\sale\affiliate.php;2;1123;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerSaleAffiliate;;3;The class ControllerSaleAffiliate has 1122 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerSaleAffiliate has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
621;1;13;upload\admin\controller\sale\customer.php;2;1417;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerSaleCustomer;;3;The class ControllerSaleCustomer has 1416 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerSaleCustomer has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;2.1.0.0;2013-04-28;2015-09-27
674;1;0;upload\admin\controller\sale\order.php;2;2557;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerSaleOrder;;3;The class ControllerSaleOrder has 2556 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerSaleOrder has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;;2013-04-28;
718;1;7;upload\admin\controller\sale\return.php;2;1219;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerSaleReturn;;3;The class ControllerSaleReturn has 1218 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerSaleReturn has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;2.0.0.0;2013-04-28;2014-10-01
769;1;20;upload\admin\controller\setting\setting.php;2;1220;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerSettingSetting;;3;The class ControllerSettingSetting has 1219 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerSettingSetting has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;3.0.0.0;2013-04-28;2017-06-19
780;1;16;upload\admin\controller\setting\store.php;2;1026;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerSettingStore;;3;The class ControllerSettingStore has 1025 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerSettingStore has  lines of code. Current threshold is . Avoid really long classes.;1.5.5.1;2.2.0.0;2013-04-28;2016-03-02
1916;2;20;upload\admin\controller\extension\openbay.php;2;1819;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionOpenbay;;3;The class ControllerExtensionOpenbay has 1818 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionOpenbay has  lines of code. Current threshold is . Avoid really long classes.;1.5.6;3.0.0.0;2013-08-01;2017-06-19
1990;2;7;upload\admin\controller\openbay\openbay.php;2;1826;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerOpenbayOpenbay;;3;The class ControllerOpenbayOpenbay has 1825 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerOpenbayOpenbay has  lines of code. Current threshold is . Avoid really long classes.;1.5.6;2.0.0.0;2013-08-01;2014-10-01
2043;2;17;upload\admin\controller\payment\pp_express.php;2;1183;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerPaymentPPExpress;;3;The class ControllerPaymentPPExpress has 1182 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerPaymentPPExpress has  lines of code. Current threshold is . Avoid really long classes.;1.5.6;2.3.0.0;2013-08-01;2016-07-30
2319;2;17;upload\catalog\controller\payment\pp_express.php;2;1937;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerPaymentPPExpress;;3;The class ControllerPaymentPPExpress has 1936 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerPaymentPPExpress has  lines of code. Current threshold is . Avoid really long classes.;1.5.6;2.3.0.0;2013-08-01;2016-07-30
2613;2;13;upload\system\library\ebay.php;2;1550;ExcessiveClassLength;Code Size Rules;#NAME?;Ebay;;3;The class Ebay has 1549 lines of code. Current threshold is 1000. Avoid really long classes.;The class Ebay has  lines of code. Current threshold is . Avoid really long classes.;1.5.6;2.1.0.0;2013-08-01;2015-09-27
2738;3;17;upload\admin\controller\openbay\amazon.php;2;1089;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerOpenbayAmazon;;3;The class ControllerOpenbayAmazon has 1088 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerOpenbayAmazon has  lines of code. Current threshold is . Avoid really long classes.;1.5.6.1;2.3.0.0;2014-01-09;2016-07-30
2781;3;17;upload\admin\controller\openbay\amazonus.php;2;1036;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerOpenbayAmazonus;;3;The class ControllerOpenbayAmazonus has 1035 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerOpenbayAmazonus has  lines of code. Current threshold is . Avoid really long classes.;1.5.6.1;2.3.0.0;2014-01-09;2016-07-30
3114;7;20;upload\admin\controller\marketing\affiliate.php;2;1181;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerMarketingAffiliate;;3;The class ControllerMarketingAffiliate has 1180 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerMarketingAffiliate has  lines of code. Current threshold is . Avoid really long classes.;2.0.0.0;3.0.0.0;2014-10-01;2017-06-19
3181;7;17;upload\admin\controller\openbay\ebay.php;2;2089;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerOpenbayEbay;;3;The class ControllerOpenbayEbay has 2088 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerOpenbayEbay has  lines of code. Current threshold is . Avoid really long classes.;2.0.0.0;2.3.0.0;2014-10-01;2016-07-30
4169;8;17;upload\admin\model\openbay\openbay.php;2;1028;ExcessiveClassLength;Code Size Rules;#NAME?;ModelOpenbayOpenbay;;3;The class ModelOpenbayOpenbay has 1027 lines of code. Current threshold is 1000. Avoid really long classes.;The class ModelOpenbayOpenbay has  lines of code. Current threshold is . Avoid really long classes.;2.0.1.0;2.3.0.0;2014-11-30;2016-07-30
4495;10;17;upload\catalog\model\shipping\royal_mail.php;243;1328;ExcessiveClassLength;Code Size Rules;#NAME?;ModelShippingRoyalMail;;3;The class ModelShippingRoyalMail has 1086 lines of code. Current threshold is 1000. Avoid really long classes.;The class ModelShippingRoyalMail has  lines of code. Current threshold is . Avoid really long classes.;2.0.2.0;2.3.0.0;2015-03-30;2016-07-30
4577;13;0;upload\admin\controller\customer\customer.php;2;1529;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerCustomerCustomer;;3;The class ControllerCustomerCustomer has 1528 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerCustomerCustomer has  lines of code. Current threshold is . Avoid really long classes.;2.1.0.0;;2015-09-27;
4769;13;0;upload\system\library\openbay\ebay.php;4;1507;ExcessiveClassLength;Code Size Rules;openbay;Ebay;;3;The class Ebay has 1504 lines of code. Current threshold is 1000. Avoid really long classes.;The class Ebay has  lines of code. Current threshold is . Avoid really long classes.;2.1.0.0;;2015-09-27;
4927;16;17;upload\admin\controller\payment\laybuy.php;2;1244;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerPaymentLaybuy;;3;The class ControllerPaymentLaybuy has 1243 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerPaymentLaybuy has  lines of code. Current threshold is . Avoid really long classes.;2.2.0.0;2.3.0.0;2016-03-02;2016-07-30
5429;17;0;upload\admin\controller\extension\openbay\amazon.php;2;1096;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionOpenbayAmazon;;3;The class ControllerExtensionOpenbayAmazon has 1095 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionOpenbayAmazon has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
5491;17;0;upload\admin\controller\extension\openbay\amazonus.php;2;1026;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionOpenbayAmazonus;;3;The class ControllerExtensionOpenbayAmazonus has 1025 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionOpenbayAmazonus has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
5549;17;0;upload\admin\controller\extension\openbay\ebay.php;2;2413;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionOpenbayEbay;;3;The class ControllerExtensionOpenbayEbay has 2412 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionOpenbayEbay has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
5842;17;0;upload\admin\controller\extension\payment\laybuy.php;2;1240;ExcessiveClassLength;Code Size Rules;#NAME?;ControllerExtensionPaymentLaybuy;;3;The class ControllerExtensionPaymentLaybuy has 1239 lines of code. Current threshold is 1000. Avoid really long classes.;The class ControllerExtensionPaymentLaybuy has  lines of code. Current threshold is . Avoid really long classes.;2.3.0.0;;2016-07-30;
