id;idversion_init;idversion_end;file;begin_line;end_line;rule;ruleset;package;class;function;priority;violation;violation_nonumbers;version_init;version_end;date_init;date_end
695;1;17;libraries\PHPExcel\PHPExcel\Reader\Excel2007.php;51;1625;CouplingBetweenObjects;Design Rules;PHPExcel_Reader;PHPExcel_Reader_Excel2007;;2;The class PHPExcel_Reader_Excel2007 has a coupling between objects value of 24. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Reader_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.5;2010-08-20;2011-09-14
730;1;17;libraries\PHPExcel\PHPExcel\Reader\Excel5.php;84;6177;CouplingBetweenObjects;Design Rules;PHPExcel_Reader_Excel5;PHPExcel_Reader_Excel5;;2;The class PHPExcel_Reader_Excel5 has a coupling between objects value of 30. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Reader_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.5;2010-08-20;2011-09-14
1159;1;10;libraries\PHPExcel\PHPExcel\Shared\JAMA\Matrix.php;45;1445;CouplingBetweenObjects;Design Rules;#NAME?;Matrix;;2;The class Matrix has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.;The class Matrix has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.0;2010-08-20;2011-05-11
1484;1;17;libraries\PHPExcel\PHPExcel\Worksheet.php;36;2475;CouplingBetweenObjects;Design Rules;PHPExcel_Worksheet;PHPExcel_Worksheet;;2;The class PHPExcel_Worksheet has a coupling between objects value of 30. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Worksheet has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.5;2010-08-20;2011-09-14
1689;1;10;libraries\PHPExcel\PHPExcel\Writer\Excel2007.php;36;517;CouplingBetweenObjects;Design Rules;PHPExcel_Writer_Excel2007;PHPExcel_Writer_Excel2007;;2;The class PHPExcel_Writer_Excel2007 has a coupling between objects value of 18. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Writer_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.0;2010-08-20;2011-05-11
1838;1;4;libraries\PHPExcel\PHPExcel\Writer\Excel5\Workbook.php;71;1550;CouplingBetweenObjects;Design Rules;PHPExcel_Writer_Excel5;PHPExcel_Writer_Excel5_Workbook;;2;The class PHPExcel_Writer_Excel5_Workbook has a coupling between objects value of 18. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Writer_Excel_Workbook has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.3.8;2010-08-20;2010-10-25
1880;1;17;libraries\PHPExcel\PHPExcel\Writer\Excel5\Worksheet.php;71;3009;CouplingBetweenObjects;Design Rules;PHPExcel_Writer_Excel5;PHPExcel_Writer_Excel5_Worksheet;;2;The class PHPExcel_Writer_Excel5_Worksheet has a coupling between objects value of 16. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Writer_Excel_Worksheet has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.5;2010-08-20;2011-09-14
1967;1;17;libraries\PHPExcel\PHPExcel\Writer\HTML.php;36;1325;CouplingBetweenObjects;Design Rules;PHPExcel_Writer;PHPExcel_Writer_HTML;;2;The class PHPExcel_Writer_HTML has a coupling between objects value of 17. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Writer_HTML has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.5;2010-08-20;2011-09-14
2778;1;10;libraries\tcpdf\tcpdf.php;114;6853;CouplingBetweenObjects;Design Rules;#NAME?;TCPDF;;2;The class TCPDF has a coupling between objects value of 48. Consider to reduce the number of dependencies under 13.;The class TCPDF has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.5.1;3.4.0;2010-08-20;2011-05-11
3200;4;17;libraries\PHPExcel\PHPExcel\Reader\OOCalc.php;51;507;CouplingBetweenObjects;Design Rules;PHPExcel_Reader;PHPExcel_Reader_OOCalc;;2;The class PHPExcel_Reader_OOCalc has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Reader_OOCalc has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.8;3.4.5;2010-10-25;2011-09-14
3209;4;17;libraries\PHPExcel\PHPExcel\Writer\Excel5.php;36;476;CouplingBetweenObjects;Design Rules;PHPExcel_Writer_Excel5;PHPExcel_Writer_Excel5;;2;The class PHPExcel_Writer_Excel5 has a coupling between objects value of 22. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Writer_Excel has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.3.8;3.4.5;2010-10-25;2011-09-14
3964;10;17;libraries\PHPExcel\PHPExcel\Reader\Excel2003XML.php;45;787;CouplingBetweenObjects;Design Rules;PHPExcel_Reader;PHPExcel_Reader_Excel2003XML;;2;The class PHPExcel_Reader_Excel2003XML has a coupling between objects value of 13. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Reader_ExcelXML has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.4.0;3.4.5;2011-05-11;2011-09-14
4015;10;17;libraries\PHPExcel\PHPExcel\Reader\Gnumeric.php;45;914;CouplingBetweenObjects;Design Rules;PHPExcel_Reader;PHPExcel_Reader_Gnumeric;;2;The class PHPExcel_Reader_Gnumeric has a coupling between objects value of 16. Consider to reduce the number of dependencies under 13.;The class PHPExcel_Reader_Gnumeric has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.4.0;3.4.5;2011-05-11;2011-09-14
4567;10;142;libraries\tcpdf\tcpdf.php;152;26132;CouplingBetweenObjects;Design Rules;com.tecnick.tcpdf;TCPDF;;2;The class TCPDF has a coupling between objects value of 22. Consider to reduce the number of dependencies under 13.;The class TCPDF has a coupling between objects value of . Consider to reduce the number of dependencies under .;3.4.0;4.7.0-beta1;2011-05-11;2017-01-26
8232;51;142;libraries\tcpdf\include\tcpdf_static.php;52;2833;CouplingBetweenObjects;Design Rules;com.tecnick.tcpdf;TCPDF_STATIC;;2;The class TCPDF_STATIC has a coupling between objects value of 14. Consider to reduce the number of dependencies under 13.;The class TCPDF_STATIC has a coupling between objects value of . Consider to reduce the number of dependencies under .;4.1.0;4.7.0-beta1;2013-12-12;2017-01-26
